P:\carob\llr\Data\2017\2017rc0101 M. Bird\Cr\U123_Cr_XRF\XRF data     19/12/2017  re-evaluated data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peakarea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
filename,position (mm),sample surface,validity,E-gain,E-offset,F-slope,F-offset,kcps,MSE,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Ti,V,Mn,Fe,Co,Ni,Cu,Zn,Ga,As,Br,Rb,Sr,Y,Zr,Pd,Sn,Ba,Ta,Pb,Mo inc,Mo coh,Tube,Location
P:\carob\llr\Data\2017\2017rc0101 M. Bird\Cr\U123_Cr_XRF\XRF data\L000060.spe,116.64,6.35,1,0.018657,-0.005509,0.008729,0.098113,22993.04883,1.2,0,41,17,36,11,36,3398,12,151,0,8,110,76,0,262,37,0,0,5,0,6,139,184,233,103,15,0,84,0,7687,6321,Cr,1
P:\carob\llr\Data\2017\2017rc0101 M. Bird\Cr\U123_Cr_XRF\XRF data\L000061.spe,117.64,8,1,0.018657,-0.005509,0.008729,0.098113,17892.60352,1.88,0,0,0,0,24,50,4007,0,16,0,0,107,88,0,245,0,0,100,0,0,66,174,263,141,91,17,0,74,0,2030,1790,Cr,1
P:\carob\llr\Data\2017\2017rc0101 M. Bird\Cr\U123_Cr_XRF\XRF data\L000062.spe,118.64,8,1,0.018657,-0.005509,0.008729,0.098113,17774.20508,1.47,7,0,0,0,11,22,3866,7,0,0,0,46,94,0,240,0,0,0,0,21,156,163,25,42,140,29,0,137,35,1820,1849,Cr,1
P:\carob\llr\Data\2017\2017rc0101 M. Bird\Cr\U123_Cr_XRF\XRF data\L000063.spe,119.64,8,1,0.018657,-0.005509,0.008729,0.098113,17522.29688,1.92,0,0,4,18,13,34,3896,22,6,0,0,63,65,0,218,0,0,0,90,23,120,224,139,121,109,13,0,47,0,1808,1806,Cr,1
P:\carob\llr\Data\2017\2017rc0101 M. Bird\Cr\U123_Cr_XRF\XRF data\L000064.spe,120.64,8,1,0.018657,-0.005509,0.008729,0.098113,17697.31445,2.34,0,10,5,17,35,40,3871,8,0,0,0,14,71,0,232,0,0,112,0,86,25,211,93,87,119,0,0,120,0,1721,1750,Cr,1
P:\carob\llr\Data\2017\2017rc0101 M. Bird\Cr\U123_Cr_XRF\XRF data\L000065.spe,121.64,8,1,0.018657,-0.005509,0.008729,0.098113,17961.5,1.81,0,0,0,0,16,68,3924,13,11,0,0,185,95,0,263,0,0,0,0,82,113,44,157,207,140,14,10,100,41,2031,1702,Cr,1
P:\carob\llr\Data\2017\2017rc0101 M. Bird\Cr\U123_Cr_XRF\XRF data\L000066.spe,122.64,8,1,0.018657,-0.005509,0.008729,0.098113,18277.08594,2.37,0,7,17,10,22,22,3905,16,0,0,0,178,99,0,233,0,0,0,0,81,13,155,178,106,125,35,47,110,0,1871,1799,Cr,1
P:\carob\llr\Data\2017\2017rc0101 M. Bird\Cr\U123_Cr_XRF\XRF data\L000067.spe,123.64,8,1,0.018657,-0.005509,0.008729,0.098113,18259.38867,1.76,0,11,12,18,35,47,3872,12,5,0,0,120,83,0,246,0,0,51,0,47,90,189,192,152,116,18,0,62,11,1792,1778,Cr,1
P:\carob\llr\Data\2017\2017rc0101 M. Bird\Cr\U123_Cr_XRF\XRF data\L000068.spe,124.64,8,1,0.018657,-0.005509,0.008729,0.098113,18013.80078,2.97,0,0,0,21,24,42,3991,0,0,4,0,143,52,0,254,0,0,0,0,0,0,16,0,182,113,28,0,90,0,1871,1796,Cr,1
P:\carob\llr\Data\2017\2017rc0101 M. Bird\Cr\U123_Cr_XRF\XRF data\L000069.spe,125.64,8,1,0.018657,-0.005509,0.008729,0.098113,17956.29297,3.01,0,0,25,31,22,39,3871,22,0,0,0,185,66,0,245,0,0,125,0,27,0,139,93,127,109,12,0,130,34,1887,1781,Cr,1
